188
# Request number,Source,Demand,#Dest,Destination
0,0,12800.000,1,1
1,0,12800.000,1,2
2,0,12800.000,1,3
3,0,12800.000,1,4
4,0,12800.000,1,5
5,0,12800.000,1,6
6,0,12800.000,1,7
7,0,12800.000,1,8
8,0,12800.000,1,9
9,0,12800.000,1,10
10,0,12800.000,1,11
11,0,12800.000,1,12
12,0,12800.000,1,13
13,0,12800.000,1,14
14,0,12800.000,1,15
15,0,12800.000,1,16
16,0,12800.000,1,17
17,0,12800.000,1,18
18,0,12800.000,1,19
19,0,12800.000,1,20
20,0,12800.000,1,21
21,0,12800.000,1,22
22,0,12800.000,1,23
23,0,12800.000,1,24
24,0,12800.000,1,25
25,0,12800.000,1,26
26,0,12800.000,1,27
27,0,12800.000,1,28
28,0,12800.000,1,29
29,0,12800.000,1,30
30,0,12800.000,1,31
31,0,12800.000,1,32
32,0,12800.000,1,33
33,0,12800.000,1,34
34,0,12800.000,1,35
35,0,12800.000,1,36
36,0,12800.000,1,37
37,0,12800.000,1,38
38,0,12800.000,1,39
39,0,12800.000,1,40
40,0,12800.000,1,41
41,0,12800.000,1,42
42,0,12800.000,1,43
43,0,12800.000,1,44
44,0,12800.000,1,45
45,0,12800.000,1,46
46,0,12800.000,1,47
47,0,12800.000,1,48
48,0,12800.000,1,49
49,0,12800.000,1,50
50,0,12800.000,1,51
51,0,12800.000,1,52
52,0,12800.000,1,53
53,0,12800.000,1,54
54,0,12800.000,1,55
55,0,12800.000,1,56
56,0,12800.000,1,57
57,0,12800.000,1,58
58,0,12800.000,1,59
59,0,12800.000,1,60
60,0,12800.000,1,61
61,0,12800.000,1,62
62,0,12800.000,1,63
63,1,   0.000,1,0
64,1,12800.000,1,2
65,2,   0.000,1,0
66,2,12800.000,1,3
67,3,   0.000,1,0
68,3,12800.000,1,4
69,4,   0.000,1,0
70,4,12800.000,1,5
71,5,   0.000,1,0
72,5,12800.000,1,6
73,6,   0.000,1,0
74,6,12800.000,1,7
75,7,   0.000,1,0
76,7,12800.000,1,8
77,8,   0.000,1,0
78,8,12800.000,1,9
79,9,   0.000,1,0
80,9,12800.000,1,10
81,10,   0.000,1,0
82,10,12800.000,1,11
83,11,   0.000,1,0
84,11,12800.000,1,12
85,12,   0.000,1,0
86,12,12800.000,1,13
87,13,   0.000,1,0
88,13,12800.000,1,14
89,14,   0.000,1,0
90,14,12800.000,1,15
91,15,   0.000,1,0
92,15,12800.000,1,16
93,16,   0.000,1,0
94,16,12800.000,1,17
95,17,   0.000,1,0
96,17,12800.000,1,18
97,18,   0.000,1,0
98,18,12800.000,1,19
99,19,   0.000,1,0
100,19,12800.000,1,20
101,20,   0.000,1,0
102,20,12800.000,1,21
103,21,   0.000,1,0
104,21,12800.000,1,22
105,22,   0.000,1,0
106,22,12800.000,1,23
107,23,   0.000,1,0
108,23,12800.000,1,24
109,24,   0.000,1,0
110,24,12800.000,1,25
111,25,   0.000,1,0
112,25,12800.000,1,26
113,26,   0.000,1,0
114,26,12800.000,1,27
115,27,   0.000,1,0
116,27,12800.000,1,28
117,28,   0.000,1,0
118,28,12800.000,1,29
119,29,   0.000,1,0
120,29,12800.000,1,30
121,30,   0.000,1,0
122,30,12800.000,1,31
123,31,   0.000,1,0
124,31,12800.000,1,32
125,32,   0.000,1,0
126,32,12800.000,1,33
127,33,   0.000,1,0
128,33,12800.000,1,34
129,34,   0.000,1,0
130,34,12800.000,1,35
131,35,   0.000,1,0
132,35,12800.000,1,36
133,36,   0.000,1,0
134,36,12800.000,1,37
135,37,   0.000,1,0
136,37,12800.000,1,38
137,38,   0.000,1,0
138,38,12800.000,1,39
139,39,   0.000,1,0
140,39,12800.000,1,40
141,40,   0.000,1,0
142,40,12800.000,1,41
143,41,   0.000,1,0
144,41,12800.000,1,42
145,42,   0.000,1,0
146,42,12800.000,1,43
147,43,   0.000,1,0
148,43,12800.000,1,44
149,44,   0.000,1,0
150,44,12800.000,1,45
151,45,   0.000,1,0
152,45,12800.000,1,46
153,46,   0.000,1,0
154,46,12800.000,1,47
155,47,   0.000,1,0
156,47,12800.000,1,48
157,48,   0.000,1,0
158,48,12800.000,1,49
159,49,   0.000,1,0
160,49,12800.000,1,50
161,50,   0.000,1,0
162,50,12800.000,1,51
163,51,   0.000,1,0
164,51,12568.000,1,52
165,52,   0.000,1,0
166,52,12800.000,1,53
167,53,   0.000,1,0
168,53,12800.000,1,54
169,54,   0.000,1,0
170,54,12800.000,1,55
171,55,   0.000,1,0
172,55,12800.000,1,56
173,56,   0.000,1,0
174,56,12800.000,1,57
175,57,   0.000,1,0
176,57,12800.000,1,58
177,58,   0.000,1,0
178,58,12800.000,1,59
179,59,   0.000,1,0
180,59,12800.000,1,60
181,60,   0.000,1,0
182,60,12800.000,1,61
183,61,   0.000,1,0
184,61,12800.000,1,62
185,62,   0.000,1,0
186,62,12800.000,1,63
187,63,   0.000,1,0
